2025-07-26 09:25:29 | download_manager | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 09:25:53 | download_manager | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 09:29:01 | downloader | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 09:29:21 | downloader | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 09:29:44 | downloader | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 09:32:44 | downloader | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 09:32:44 | downloader | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 09:34:49 | downloader | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 09:35:11 | download_manager | INFO | Début du traitement des téléchargements en attente
2025-07-26 09:36:34 | downloader | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 09:36:34 | downloader | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 09:36:39 | download_manager | INFO | Début du traitement des téléchargements en attente
2025-07-26 09:37:33 | downloader | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 09:37:58 | download_manager | INFO | Début du traitement des téléchargements en attente
2025-07-26 09:37:58 | download_manager | INFO | Nombre d'albums en attente: 1
2025-07-26 09:37:58 | download_manager | INFO | Traitement de l'album: THE.DRAW.OF.A.NEW.SHAPE de Changeline
2025-07-26 09:37:58 | download_manager | INFO | Démarrage de la recherche pour: Changeline THE.DRAW.OF.A.NEW.SHAPE
2025-07-26 09:37:58 | download_manager | ERROR | Erreur lors de la recherche: 401 Client Error: Unauthorized for url: http://slskd:5030/api/v0/searches
2025-07-26 09:37:58 | download_manager | WARNING | Échec du téléchargement pour THE.DRAW.OF.A.NEW.SHAPE
2025-07-26 09:37:58 | download_manager | INFO | Vérification de 0 téléchargements en cours
2025-07-26 15:50:20 | downloader | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 15:50:20 | downloader | INFO | Slskd configuré avec succès sur http://slskd:5030
2025-07-26 15:52:43 | download_manager | INFO | Début du traitement des téléchargements en attente
2025-07-26 15:52:43 | download_manager | INFO | Nombre d'albums en attente: 1
2025-07-26 15:52:43 | download_manager | INFO | Traitement de l'album: THIS MAY BE BASED ON A TRUE STORY (idk) de Changeline
2025-07-26 15:52:43 | download_manager | INFO | Démarrage de la recherche pour: Changeline THIS MAY BE BASED ON A TRUE STORY (idk)
2025-07-26 15:52:50 | download_manager | INFO | Analyse des résultats de endlessloop-server
2025-07-26 15:52:50 | download_manager | ERROR | Erreur lors de l'accès au dossier de endlessloop-server: list indices must be integers or slices, not str
2025-07-26 15:52:51 | download_manager | ERROR | Erreur lors de l'accès au dossier de endlessloop-server: list indices must be integers or slices, not str
2025-07-26 15:52:51 | download_manager | ERROR | Erreur lors de l'accès au dossier de endlessloop-server: list indices must be integers or slices, not str
2025-07-26 15:52:51 | download_manager | ERROR | Erreur lors de l'accès au dossier de endlessloop-server: list indices must be integers or slices, not str
2025-07-26 15:52:51 | download_manager | ERROR | Erreur lors de l'accès au dossier de endlessloop-server: list indices must be integers or slices, not str
2025-07-26 15:52:51 | download_manager | ERROR | Erreur lors de l'accès au dossier de endlessloop-server: list indices must be integers or slices, not str
2025-07-26 15:52:51 | download_manager | ERROR | Erreur lors de l'accès au dossier de endlessloop-server: list indices must be integers or slices, not str
2025-07-26 15:52:51 | download_manager | INFO | Analyse des résultats de stachardos
2025-07-26 15:52:51 | download_manager | INFO | Analyse des résultats de TransRights!
2025-07-26 15:52:52 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: list indices must be integers or slices, not str
2025-07-26 15:52:52 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: list indices must be integers or slices, not str
2025-07-26 15:52:52 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: list indices must be integers or slices, not str
2025-07-26 15:52:52 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: list indices must be integers or slices, not str
2025-07-26 15:52:53 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: list indices must be integers or slices, not str
2025-07-26 15:52:53 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: list indices must be integers or slices, not str
2025-07-26 15:52:53 | download_manager | ERROR | Erreur lors de l'accès au dossier de TransRights!: list indices must be integers or slices, not str
2025-07-26 15:52:53 | download_manager | INFO | Analyse des résultats de thisdogissomessedup
2025-07-26 15:52:53 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: list indices must be integers or slices, not str
2025-07-26 15:52:54 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: list indices must be integers or slices, not str
2025-07-26 15:52:54 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: list indices must be integers or slices, not str
2025-07-26 15:52:54 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: list indices must be integers or slices, not str
2025-07-26 15:52:54 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: list indices must be integers or slices, not str
2025-07-26 15:52:54 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: list indices must be integers or slices, not str
2025-07-26 15:52:54 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: list indices must be integers or slices, not str
2025-07-26 15:52:54 | download_manager | INFO | Analyse des résultats de organic_rust
2025-07-26 15:52:54 | download_manager | ERROR | Erreur lors de l'accès au dossier de organic_rust: list indices must be integers or slices, not str
2025-07-26 15:52:55 | download_manager | ERROR | Erreur lors de l'accès au dossier de organic_rust: list indices must be integers or slices, not str
2025-07-26 15:52:55 | download_manager | ERROR | Erreur lors de l'accès au dossier de organic_rust: list indices must be integers or slices, not str
2025-07-26 15:52:55 | download_manager | ERROR | Erreur lors de l'accès au dossier de organic_rust: list indices must be integers or slices, not str
